Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded  per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Andreas Pereira,15,Manchester-United,Midfielder,Brazil,24,45,21,13,2,0.04,0,1,1,0,0,45,16,36%,0,1,0.02,0,0,0,34,62%,0,14,20,12,4,0,140,101,213,32,0.71,13,49,0,1,4,0.09,1111,24.69,8,0.18,88,19%,3,42,0.93,0,0,0,0,0,0,0,0,0,0,10,0,42,4
Fred,17,Manchester-United,Midfielder,Brazil,27,46,22,14,1,0.02,0,1,0,0,0,57,12,21%,3,1,0.02,0,0,0,89,55%,0,13,54,35,9,0,339,205,250,50,1.09,12,32,0,1,1,0.02,2437,52.98,4,0.09,76,25%,6,170,3.7,0,0,0,0,0,0,0,0,0,0,10,0,67,2
Bruno Fernandes,18,Manchester-United,Midfielder,Portugal,26,15,9,1,8,0.53,0,8,0,4,1,47,19,40%,3,4,0.27,0,0,0,24,54%,0,9,11,14,9,0,75,57,76,15,1,3,11,0,0,7,0.47,871,58.07,3,0.2,87,21%,8,52,3.47,0,0,0,0,0,0,0,0,0,0,2,0,10,2
Daniel James,21,Manchester-United,Midfielder,Wales,22,34,15,9,3,0.09,0,3,0,0,0,43,20,47%,0,2,0.06,0,0,0,22,50%,0,11,7,6,1,0,94,111,141,27,0.79,8,26,0,0,6,0.18,722,21.24,6,0.18,100,15%,4,13,0.38,0,0,0,0,0,0,0,0,0,0,4,0,14,2
Nemanja Matic,31,Manchester-United,Midfielder,Serbia,32,208,127,36,6,0.03,0,2,4,0,0,134,35,26%,3,7,0.03,0,0,0,491,69%,0,46,337,406,255,0,1583,1196,1009,235,1.13,343,239,0,1,19,0.09,12463,59.92,11,0.05,92,20%,26,741,3.56,0,0,0,0,0,0,0,0,0,0,36,3,234,14
Scott McTominay,39,Manchester-United,Midfielder,Scotland,23,59,33,13,6,0.1,0,4,2,0,0,48,17,35%,0,3,0.05,0,0,0,69,64%,0,17,62,62,39,0,259,288,224,38,0.64,94,69,0,1,1,0.02,1926,32.64,2,0.03,22,18%,4,94,1.59,0,0,0,0,0,0,0,0,0,0,6,0,59,1
Donny van de Beek,34,Manchester-United,Midfielder,Netherlands,23,1,0,1,1,1,0,1,0,0,0,1,1,100%,0,0,0,0,0,0,1,1%,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,22,22,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciaran Clark,2,Newcastle-United,Defender,Ireland,30,179,45,85,14,0,11,0,3,0,0,0,0,0,3,0,0,29,270,1.51,306,74%,5,18,304,1256,580,5,683,872,605,48,0.27,420,305,0,4,5,0.03,5675,31.7,10,0.06,41,20%,2,371,2.07,0,0,0,0,0,0,0,0,0,0,47,2,171,2
Paul Dummett,3,Newcastle-United,Defender,Wales,28,128,42,56,2,0,0,0,2,0,0,0,0,0,1,0,0,27,151,1.18,216,75%,1,10,177,606,348,1,387,590,345,21,0.16,305,199,2,2,0,0,3814,29.8,4,0.03,202,19%,1,229,1.79,0,0,0,0,0,0,0,0,0,0,12,1,58,1
Fabian Schar,5,Newcastle-United,Defender,Switzerland,28,46,17,21,6,0,1,3,2,0,0,0,0,0,0,0,0,11,60,1.3,99,61%,0,7,114,209,106,2,225,268,229,30,0.65,99,99,0,2,1,0.02,1755,38.15,1,0.02,29,10%,5,228,4.96,0,0,0,0,0,0,0,0,0,0,17,0,57,3
