Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded  per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Simon Moore,25,Sheffield-United,Goalkeeper,England,30,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,22,0,0,0,0,0,10,5,5,2.5,0,0,0,0,0,0,4,11,0,0,0,0
Aaron Ramsdale,1,Sheffield-United,Goalkeeper,England,22,39,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.03,1000,25.64,0,0,0,0,0,220,5.64,132,3.38,1,0.03,17,21,6,13,188,312,0,0,0,0
John Fleck,4,Sheffield-United,Midfielder,Scotland,29,32,10,13,5,0.16,0,1,4,0,0,32,11,34%,1,2,0.06,0,0,0,39,72%,0,12,26,22,8,0,177,120,136,46,1.44,14,28,0,0,2,0.06,1047,32.72,5,0.16,158,23%,3,38,1.19,0,0,0,0,0,0,0,0,0,0,8,0,27,1
John Lundstram,7,Sheffield-United,Midfielder,England,26,36,12,13,5,0.14,0,4,1,0,0,44,11,25%,1,5,0.14,0,0,0,47,66%,0,10,34,44,23,0,165,105,148,19,0.53,26,36,0,0,3,0.08,1247,34.64,8,0.22,75,15%,3,90,2.5,0,0,0,0,0,0,0,0,0,0,6,0,30,7
Oliver Norwood,16,Sheffield-United,Midfielder,Northern Ireland,29,39,14,13,1,0.03,0,1,0,1,0,17,6,35%,0,0,0,0,0,0,66,56%,0,5,49,40,20,0,280,136,135,9,0.23,45,30,0,0,1,0.03,2062,52.87,6,0.15,205,27%,1,239,6.13,0,0,0,0,0,0,0,0,0,0,8,0,32,1
Ben Osborn,23,Sheffield-United,Midfielder,England,26,14,8,3,0,14,0,0,0,0,0,3,1,33%,0,0,0,0,0,0,15,67%,0,1,6,6,2,0,45,31,38,4,0.29,6,9,0,0,0,0,244,17.43,1,0.07,18,22%,0,8,0.57,0,0,0,0,0,0,0,0,0,0,0,0,9,1
Sander Berge,8,Sheffield-United,Midfielder,Norway,22,16,6,7,1,0.06,0,1,0,0,0,7,2,29%,0,1,0.06,0,0,0,24,71%,0,2,11,16,11,0,62,85,53,16,1,38,18,0,0,1,0.06,412,25.75,1,0.06,23,13%,0,14,0.88,0,0,0,0,0,0,0,0,0,0,0,0,19,1
Jack Rodwell,26,Sheffield-United,Midfielder,England,29,167,50,64,10,0.06,4,3,3,0,0,210,58,28%,2,13,0.08,0,0,0,212,78%,0,63,113,227,79,0,482,470,423,49,0.29,148,114,0,2,4,0.02,3881,23.24,2,0.01,67,13%,11,271,1.62,0,0,0,0,0,0,0,0,0,0,26,1,135,7
Regan Slater,28,Sheffield-United,Midfielder,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Burke,14,Sheffield-United,Midfielder,Scotland,23,16,0,13,0,16,0,0,0,0,0,4,0,4%,0,1,0.06,0,0,0,6,67%,0,2,7,2,1,0,15,34,51,13,0.81,8,16,0,0,2,0.13,149,9.31,1,0.06,9,22%,1,3,0.19,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Zak Brunt,42,Sheffield-United,Midfielder,England,18,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannik Vestergaard,4,Southampton,Defender,Denmark,28,43,14,20,1,0,1,0,0,0,0,0,0,0,1,0,0,8,57,1.33,74,64%,0,5,62,273,155,0,208,280,150,14,0.33,169,82,0,1,0,0,1709,39.74,3,0.07,2,50%,3,98,2.28,0,0,0,0,0,0,0,0,0,0,5,0,27,1
Jack Stephens,5,Southampton,Defender,England,26,93,25,40,4,0,2,1,1,0,0,0,0,0,1,0,0,21,136,1.46,123,63%,3,4,136,396,204,0,513,381,324,37,0.4,185,183,0,1,4,0.04,3850,41.4,3,0.03,20,10%,5,237,2.55,0,0,0,0,0,0,0,0,0,0,16,2,55,3
Ryan Bertrand,3,Southampton,Defender,England,31,231,83,95,7,0,1,2,4,0,0,0,0,0,3,0,0,59,299,1.29,338,68%,1,34,331,396,185,4,897,987,897,104,0.45,322,317,0,0,15,0.06,8783,38.02,29,0.13,817,21%,9,309,1.34,0,0,0,0,0,0,0,0,0,0,31,2,211,10
Jake Vokins,29,Southampton,Defender,England,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,100%,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,58,58,0,0,1,1%,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Bednarek,35,Southampton,Defender,Poland,24,66,22,29,2,0,0,1,1,0,0,0,0,0,0,0,0,11,105,1.59,113,58%,2,3,154,390,186,2,327,351,239,4,0.06,217,125,1,3,2,0.03,2655,40.23,2,0.03,2,2%,3,140,2.12,0,0,0,0,0,0,0,0,0,0,12,0,58,0
Yan Valery,18,Southampton,Defender,France,21,34,11,15,2,0,0,1,1,0,0,0,0,0,0,0,0,3,49,1.44,62,69%,0,2,35,86,29,0,121,176,202,38,1.12,62,71,0,3,1,0.03,621,18.26,2,0.06,66,14%,1,20,0.59,0,0,0,0,0,0,0,0,0,0,4,1,34,5
Kyle Walker-Peters,2,Southampton,Defender,England,23,24,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,1.08,41,66%,1,2,28,36,16,0,116,137,101,37,1.54,17,37,0,0,6,0.25,925,38.54,5,0.21,38,21%,0,22,0.92,0,0,0,0,0,0,0,0,0,0,3,0,14,3
Mohammed Salisu,22,Southampton,Defender,Ghana,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Long,7,Southampton,Forward,Ireland,33,322,110,143,55,0.17,14,28,12,1,0,403,161,40%,17,64,0.2,0,0,0,230,0,0,53,125,181,113,0,0,0,0,0,0,0,0,0,0,23,0.07,4540,14.1,25,0.08,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,395,186
Danny Ings,9,Southampton,Forward,England,28,113,32,47,45,0.4,7,24,13,6,0,268,108,40%,10,26,0.23,0,0,0,106,0,0,65,37,45,26,0,0,0,0,0,0,0,0,0,0,9,0.08,1938,17.15,14,0.12,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,91,43
Che Adams,10,Southampton,Forward,England,24,32,13,14,4,0.12,0,4,0,0,0,41,13,32%,1,11,0.34,0,0,0,6,0,0,15,2,9,3,0,0,0,0,0,0,0,0,0,0,2,0.06,282,8.81,5,0.16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,11
Michael Obafemi,14,Southampton,Forward,Ireland,20,28,10,12,4,0.14,0,3,1,0,0,20,8,40%,0,4,0.14,0,0,0,8,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.11,156,5.57,3,0.11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,4
Alex McCarthy,1,Southampton,Goalkeeper,England,30,96,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,17,151,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2325,24.22,0,0,0,0,0,628,6.54,314,3.27,1,0.01,59,90,24,28,310,786,3,0,1,0
Angus Gunn,28,Southampton,Goalkeeper,England,24,22,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,520,23.64,0,0,0,0,0,117,5.32,63,2.86,1,0.05,5,6,4,12,44,168,0,0,0,0
Fraser Forster,44,Southampton,Goalkeeper,England,32,107,44,38,0,0,0,0,0,0,0,0,0,0,0,0,0,37,119,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2515,23.5,0,0,0,0,0,773,7.22,259,2.42,2,0.02,31,81,26,21,295,802,4,0,0,0
Harry Lewis,41,Southampton,Goalkeeper,England,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moussa Djenepo,12,Southampton,Midfielder,Mali,22,20,7,11,2,0.1,0,2,0,0,0,22,8,36%,1,3,0.15,0,0,0,28,75%,0,4,10,9,3,0,52,117,102,49,2.45,6,19,0,0,2,0.1,266,13.3,3,0.15,21,19%,1,5,0.25,0,0,0,0,0,0,0,0,0,0,4,1,26,3
Oriol Romeu,6,Southampton,Midfielder,Spain,29,183,66,67,4,0.02,0,3,1,0,0,113,23,20%,1,3,0.02,0,0,0,471,69%,0,38,328,254,104,0,1118,1000,921,94,0.51,304,286,0,0,0,0,7889,43.11,12,0.07,20,35%,9,434,2.37,0,0,0,0,0,0,0,0,0,0,49,0,253,5
James Ward-Prowse,8,Southampton,Midfielder,England,25,233,80,89,22,0.09,0,18,4,4,6,249,102,41%,5,15,0.06,0,0,0,262,64%,0,71,188,249,134,0,914,613,874,49,0.21,182,303,0,0,22,0.09,6946,29.81,36,0.15,1110,26%,17,294,1.26,0,0,0,0,0,0,0,0,0,0,28,1,193,5
Stuart Armstrong,17,Southampton,Midfielder,Scotland,28,60,19,26,8,0.13,0,6,2,0,0,79,32,41%,0,4,0.07,0,0,0,61,64%,0,23,23,34,13,0,189,184,241,51,0.85,31,52,0,0,5,0.08,1230,20.5,3,0.05,48,19%,2,34,0.57,0,0,0,0,0,0,0,0,0,0,6,0,47,7
Sofiane Boufal,19,Southampton,Midfielder,Morocco,27,70,12,35,3,0.04,0,1,2,0,0,73,20,27%,0,2,0.03,0,0,0,91,63%,0,28,15,9,3,0,212,371,410,187,2.67,23,37,0,0,4,0.06,1328,18.97,9,0.13,101,16%,9,36,0.51,0,0,0,0,0,0,0,0,0,0,8,0,77,5
Nathan Redmond,11,Southampton,Midfielder,England,26,208,53,99,25,0.12,1,20,3,0,0,382,129,34%,14,15,0.07,0,0,0,253,64%,0,108,113,74,22,0,901,924,1114,415,2,69,187,0,1,18,0.09,5788,27.83,37,0.18,525,23%,27,243,1.17,0,0,0,0,0,0,0,0,0,0,12,1,155,48
William Smallbone,20,Southampton,Midfielder,Ireland,20,11,5,3,0,11,0,0,0,0,0,6,0,6%,1,0,0,0,0,0,13,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0.18,248,22.55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Nathan Tella,23,Southampton,Midfielder,England,21,2,1,1,0,2,0,0,0,0,0,2,1,50%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,7,1,1,0.5,1,1,0,0,0,0,4,2,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toby Alderweireld,4,Tottenham-Hotspur,Defender,Belgium,31,176,98,42,8,0,5,2,1,0,0,0,0,0,3,0,0,60,158,0.9,226,74%,2,27,183,976,462,4,824,556,442,26,0.15,282,266,2,1,4,0.02,10036,57.02,5,0.03,57,28%,22,1081,6.14,0,0,0,0,0,0,0,0,0,0,20,0,68,3
Davinson Sánchez,6,Tottenham-Hotspur,Defender,Colombia,24,84,46,21,1,0,1,0,0,0,0,0,0,0,0,0,0,23,81,0.96,122,59%,3,5,102,384,193,0,430,379,305,18,0.21,199,159,1,1,1,0.01,4901,58.35,1,0.01,5,20%,0,249,2.96,0,0,0,0,0,0,0,0,0,0,9,1,73,1
Juan Foyth,21,Tottenham-Hotspur,Defender,Argentina,22,16,8,5,1,0,1,0,0,0,0,0,0,0,0,0,0,3,14,0.88,38,53%,1,0,11,50,28,0,62,96,59,21,1.31,28,20,0,2,0,0,642,40.12,2,0.13,2,2%,1,23,1.44,0,0,0,0,0,0,0,0,0,0,4,1,18,0
Serge Aurier,24,Tottenham-Hotspur,Defender,Cote D'Ivoire,27,58,32,13,3,0,1,1,1,0,0,0,0,0,0,0,0,12,53,0.91,162,67%,1,10,85,149,93,0,285,394,328,62,1.07,130,108,1,1,9,0.16,2326,40.1,11,0.19,229,14%,1,64,1.1,0,0,0,0,0,0,0,0,0,0,4,2,79,9
Ben Davies,33,Tottenham-Hotspur,Defender,Wales,27,201,96,59,6,0,0,1,5,0,0,0,0,0,2,0,0,51,203,1.01,390,69%,2,32,263,625,310,1,689,957,842,79,0.39,343,346,0,0,15,0.07,8593,42.75,20,0.1,587,22%,5,327,1.63,0,0,0,0,0,0,0,0,0,0,26,0,162,4
Japhet Tanganga,25,Tottenham-Hotspur,Defender,England,21,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1.17,17,53%,0,1,11,29,21,1,27,45,32,6,1,18,11,0,1,0,0,201,33.5,0,0,2,2%,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0
Matt Doherty,2,Tottenham-Hotspur,Defender,Ireland,28,77,32,22,8,0,3,1,4,0,0,0,0,0,2,0,0,19,75,0.97,128,59%,1,16,103,137,96,1,333,508,388,50,0.65,288,205,1,0,8,0.1,2970,38.57,11,0.14,108,19%,4,103,1.34,0,0,0,0,0,0,0,0,0,0,7,0,63,6
Dennis Cirkin,49,Tottenham-Hotspur,Defender,England,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Carter-Vickers,0,Tottenham-Hotspur,Defender,United States,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Reguilon,3,Tottenham-Hotspur,Defender,Spain,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Moura,27,Tottenham-Hotspur,Forward,Brazil,28,75,38,26,14,0.19,2,10,2,0,0,108,37,34%,1,17,0.23,0,0,0,95,0,0,29,42,51,40,0,0,0,0,0,0,0,0,0,0,5,0.07,1653,22.04,7,0.09,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,62,20
Jack Clarke,47,Tottenham-Hotspur,Forward,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Son Heung-Min,7,Tottenham-Hotspur,Forward,South Korea,28,162,95,36,57,0.35,3,31,23,0,0,354,151,43%,11,27,0.17,0,0,0,110,0,0,96,57,43,18,0,0,0,0,0,0,0,0,0,0,29,0.18,3731,23.03,32,0.2,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,65,99
Harry Kane,10,Tottenham-Hotspur,Forward,England,27,212,120,48,144,0.68,22,88,33,20,1,783,354,45%,22,85,0.4,0,0,0,139,0,0,190,59,147,111,0,0,0,0,0,0,0,0,0,0,24,0.11,4408,20.79,38,0.18,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,208,160
Steven Bergwijn,23,Tottenham-Hotspur,Forward,Netherlands,22,16,8,4,3,0.19,0,3,0,0,0,9,4,44%,0,0,0,0,0,0,10,0,0,3,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0.06,265,16.56,1,0.06,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0
Gareth Bale,9,Tottenham-Hotspur,Forward,Wales,31,146,62,41,42,0.29,4,5,32,0,3,435,161,37%,16,21,0.14,0,0,0,220,0,0,113,240,295,77,0,0,0,0,0,0,0,0,0,0,20,0.14,4663,31.94,32,0.22,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,86,30
Hugo Lloris,1,Tottenham-Hotspur,Goalkeeper,France,33,262,153,56,0,0,0,0,0,0,0,0,0,0,0,0,0,92,277,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6702,25.58,0,0,0,0,0,1543,5.89,703,2.68,5,0.02,177,210,96,257,1234,1888,3,0,3,0
Paulo Gazzaniga,22,Tottenham-Hotspur,Goalkeeper,Argentina,28,43,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,61,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,982,22.84,0,0,0,0,0,221,5.14,127,2.95,1,0.02,18,36,17,31,162,359,1,0,1,0
Joe Hart,12,Tottenham-Hotspur,Goalkeeper,England,33,340,169,97,0,0,0,0,0,0,0,0,0,0,0,0,0,127,383,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,6733,19.8,0,0,0,0,0,1800,5.29,941,2.77,7,0.02,269,391,249,180,1516,2806,7,0,6,0
Alfie Whiteman,41,Tottenham-Hotspur,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Austin,40,Tottenham-Hotspur,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Winks,8,Tottenham-Hotspur,Midfielder,England,24,96,58,23,2,0.02,1,1,0,0,0,32,6,19%,1,1,0.01,0,0,0,88,65%,0,8,73,64,24,0,394,230,237,51,0.53,33,33,0,0,2,0.02,4198,43.73,3,0.03,54,17%,11,199,2.07,0,0,0,0,0,0,0,0,0,0,14,0,59,2
Erik Lamela,11,Tottenham-Hotspur,Midfielder,Argentina,28,155,81,36,16,0.1,2,1,12,0,0,203,69,34%,8,16,0.1,0,0,0,247,74%,0,72,103,32,17,0,546,633,869,192,1.24,38,124,0,0,23,0.15,4019,25.93,28,0.18,374,27%,36,90,0.58,0,0,0,0,0,0,0,0,0,0,26,0,213,28
Eric Dier,15,Tottenham-Hotspur,Midfielder,England,26,176,102,36,10,0.06,4,5,1,0,0,114,27,24%,2,6,0.03,0,0,0,286,73%,0,32,257,530,316,0,729,822,703,53,0.3,418,305,0,6,8,0.05,9661,54.89,11,0.06,121,18%,16,648,3.68,0,0,0,0,0,0,0,0,0,0,33,0,164,6
Moussa Sissoko,17,Tottenham-Hotspur,Midfielder,France,31,235,110,83,14,0.06,1,12,1,0,0,216,69,32%,3,18,0.08,0,0,0,280,78%,0,54,163,176,104,0,1273,1069,1390,386,1.64,240,332,0,1,24,0.1,8466,36.03,34,0.14,459,22%,60,257,1.09,0,0,0,0,0,0,0,0,0,0,36,2,276,24
Ryan Sessegnon,19,Tottenham-Hotspur,Midfielder,England,20,41,10,25,2,0.05,0,1,1,0,0,29,11,38%,1,9,0.22,0,0,0,29,62%,0,6,22,48,19,0,156,113,177,36,0.88,24,45,0,0,6,0.15,846,20.63,6,0.15,79,18%,5,18,0.44,0,0,0,0,0,0,0,0,0,0,0,0,24,17
Dele Alli,20,Tottenham-Hotspur,Midfielder,England,24,157,90,34,50,0.32,9,31,10,2,0,319,128,40%,7,37,0.24,0,0,0,237,65%,0,82,127,99,57,0,750,817,1078,183,1.17,121,184,0,1,33,0.21,5517,35.14,44,0.28,76,12%,67,167,1.06,0,0,0,0,0,0,0,0,0,0,24,0,178,31
Tanguy Ndombele,28,Tottenham-Hotspur,Midfielder,France,23,23,6,10,2,0.09,0,1,1,0,0,9,4,44%,0,0,0,0,0,0,24,67%,0,3,14,8,3,0,83,102,72,40,1.74,8,9,0,0,2,0.09,672,29.22,1,0.04,13,15%,4,19,0.83,0,0,0,0,0,0,0,0,0,0,4,0,15,0
Gedson Fernandes,30,Tottenham-Hotspur,Midfielder,Portugal,21,7,3,1,0,7,0,0,0,0,0,1,0,1%,0,0,0,0,0,0,2,2%,0,1,1,0,0,0,7,6,9,2,0.29,0,1,0,0,0,0,39,5.57,0,0,7,29%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emile Højbjerg,5,Tottenham-Hotspur,Midfielder,Denmark,25,111,34,49,4,0.04,0,3,1,0,0,143,40,28%,4,8,0.07,0,0,0,245,65%,0,34,177,131,68,0,939,639,605,100,0.9,153,115,0,2,4,0.04,5860,52.79,4,0.04,89,31%,20,315,2.84,0,0,0,0,0,0,0,0,0,0,21,2,149,2
Harvey White,48,Tottenham-Hotspur,Midfielder,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovani Lo Celso,18,Tottenham-Hotspur,Midfielder,Argentina,24,29,11,8,0,29,0,0,0,0,0,19,3,16%,0,1,0.03,0,0,0,51,57%,0,7,9,17,8,0,124,140,151,33,1.14,9,22,0,0,2,0.07,995,34.31,1,0.03,57,21%,8,44,1.52,0,0,0,0,0,0,0,0,0,0,7,0,30,0
Darnell Furlong,2,West-Bromwich-Albion,Defender,England,24,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.6,3,100%,0,1,9,12,7,0,11,27,23,3,0.6,15,9,0,0,0,0,117,23.4,0,0,12,25%,0,8,1.6,0,0,0,0,0,0,0,0,0,0,1,0,5,1
Kieran Gibbs,3,West-Bromwich-Albion,Defender,England,30,172,88,40,2,0,0,0,2,0,0,0,0,0,1,0,0,35,154,0.9,332,68%,3,20,307,496,243,3,715,757,640,127,0.74,239,260,1,1,9,0.05,6012,34.95,13,0.08,429,19%,11,162,0.94,0,0,0,0,0,0,0,0,0,0,17,2,112,13
Kyle Bartley,5,West-Bromwich-Albion,Defender,England,29,23,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1.52,32,72%,1,2,26,115,63,1,59,95,50,5,0.22,46,22,0,1,0,0,776,33.74,0,0,3,3%,0,44,1.91,0,0,0,0,0,0,0,0,0,0,6,0,22,2
Semi Ajayi,6,West-Bromwich-Albion,Defender,Nigeria,26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0%,0,0,2,3,2,0,9,1,7,0,0,1,0,0,0,0,0,54,27,0,0,0,0%,0,5,2.5,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Conor Townsend,14,West-Bromwich-Albion,Defender,England,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Hegazi,26,West-Bromwich-Albion,Defender,Egypt,29,38,6,19,2,0,2,0,0,0,0,0,0,0,0,0,0,10,55,1.45,58,66%,0,0,60,270,152,1,183,192,145,22,0.58,103,84,0,1,0,0,1186,31.21,0,0,10,30%,1,135,3.55,0,0,0,0,0,0,0,0,0,0,4,0,24,2
Dara O'Shea,27,West-Bromwich-Albion,Defender,Ireland,21,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,38%,0,0,1,6,5,0,11,12,7,0,0,3,3,0,0,0,0,79,39.5,0,0,0,0%,0,13,6.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cédric Kipré,24,West-Bromwich-Albion,Defender,Cote D'Ivoire,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Peltier,22,West-Bromwich-Albion,Defender,England,33,20,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,1.3,39,64%,0,0,18,53,29,1,70,78,54,3,0.15,30,26,0,0,0,0,342,17.1,0,0,6,50%,0,21,1.05,0,0,0,0,0,0,0,0,0,0,4,0,15,0
Branislav Ivanovic,20,West-Bromwich-Albion,Defender,Serbia,36,261,152,50,22,0,7,13,2,0,0,0,0,0,8,0,0,86,236,0.9,528,81%,6,40,393,1137,533,5,1154,1427,915,106,0.41,587,325,0,2,20,0.08,9871,37.82,20,0.08,520,20%,12,660,2.53,0,0,0,0,0,0,0,0,0,0,55,2,293,18
Hal Robson-Kanu,4,West-Bromwich-Albion,Forward,Wales,31,76,16,39,12,0.16,3,2,7,1,0,73,28,38%,2,5,0.07,0,0,0,21,0,0,17,29,34,20,0,0,0,0,0,0,0,0,0,0,3,0.04,682,8.97,2,0.03,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,76,13
Kenneth Zohore,9,West-Bromwich-Albion,Forward,Denmark,26,19,4,13,1,0.05,0,0,1,0,0,17,8,47%,0,2,0.11,0,0,0,3,0,0,4,2,5,5,0,0,0,0,0,0,0,0,0,0,1,0.05,136,7.16,1,0.05,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,4
Matheus Pereira,12,West-Bromwich-Albion,Forward,Brazil,24,2,0,2,1,0.5,0,0,1,0,1,4,2,50%,0,0,0,0,0,0,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0.5,56,28,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Charlie Austin,15,West-Bromwich-Albion,Forward,England,31,106,25,55,34,0.32,11,20,3,6,0,255,106,42%,6,34,0.32,0,0,0,62,0,0,78,17,84,52,0,0,0,0,0,0,0,0,0,0,8,0.08,1500,14.15,7,0.07,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,83,68
Callum Robinson,7,West-Bromwich-Albion,Forward,Ireland,25,22,3,10,1,0.05,0,1,0,0,0,14,5,36%,0,1,0.05,0,0,0,7,0,0,3,7,3,3,0,0,0,0,0,0,0,0,0,0,1,0.05,190,8.64,2,0.09,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,5
